Location,Crop,Region,Soil Type,Rainfall (mm),Temperature (°C),Drought Tolerance,Flood Resistance,Heat Resilience,Yield Under Stress (tons/ha)
Haryana,Wheat,Central,Loamy,609.75,29.1,0.01,0.85,0.36,6.27
Jharkhand,Rice,South,Sandy,594.9,17.4,0.37,0.2,0.56,4.11
Tripura,Wheat,South,Peaty,535.82,33.6,0.17,0.65,0.19,8.75
Bihar,Cotton,West,Clay,566.6,23.1,0.9,0.11,0.91,8.18
Arunachal Pradesh,Soybean,Central,Peaty,649.02,34.0,0.8,0.02,0.65,8.25
Jammu and Kashmir,Maize,North,Peaty,332.89,38.0,0.28,0.62,0.21,3.34
Ladakh,Rice,Central,Peaty,757.87,36.7,0.37,0.09,0.79,1.07
Punjab,Cotton,South,Clay,1271.08,31.5,0.55,0.11,0.1,2.27
Manipur,Wheat,Central,Silt,606.81,38.0,0.41,0.85,0.52,6.99
Rajasthan,Maize,West,Sandy,1007.08,18.2,0.39,0.05,0.78,5.63
Assam,Soybean,South,Clay,1042.8,32.1,0.74,0.61,0.85,6.0
Meghalaya,Wheat,South,Peaty,878.53,19.8,0.63,0.28,0.59,9.62
Tripura,Wheat,North,Silt,408.95,37.0,0.06,0.33,0.82,1.46
Himachal Pradesh,Wheat,North,Clay,1222.33,24.2,0.31,0.91,0.16,8.49
Jharkhand,Soybean,North,Loamy,703.84,19.2,0.18,0.28,0.27,7.94
Uttarakhand,Soybean,North,Silt,1489.75,25.7,0.67,0.17,0.65,6.47
Maharashtra,Cotton,East,Peaty,239.58,25.1,0.76,0.53,0.15,6.44
Delhi,Maize,South,Peaty,584.78,35.2,0.36,0.3,0.16,7.51
Rajasthan,Cotton,South,Clay,1044.74,22.4,0.4,0.8,0.55,8.01
Haryana,Soybean,South,Clay,1499.29,21.7,0.8,0.04,0.94,1.59
Assam,Cotton,North,Peaty,984.11,30.0,0.01,0.57,0.37,9.6
Andhra Pradesh,Wheat,South,Silt,1233.78,18.9,0.67,0.0,0.79,9.81
Ladakh,Rice,North,Silt,652.67,39.8,0.59,0.54,0.39,6.72
Rajasthan,Cotton,South,Clay,1116.91,30.5,0.24,0.19,0.0,9.41
Ladakh,Maize,West,Peaty,657.9,36.8,0.24,0.96,0.1,6.6
Assam,Maize,Central,Loamy,217.43,35.6,0.79,0.04,0.81,5.08
Haryana,Wheat,East,Silt,394.03,18.3,0.04,0.68,0.65,4.46
Ladakh,Cotton,East,Sandy,1188.94,31.9,0.55,0.58,0.8,3.55
Arunachal Pradesh,Soybean,North,Clay,589.48,17.8,0.2,0.44,0.75,4.19
Rajasthan,Rice,East,Silt,839.15,21.5,0.78,0.98,0.14,5.11
Arunachal Pradesh,Wheat,South,Clay,323.75,18.9,0.32,0.87,0.33,7.84
Himachal Pradesh,Maize,East,Silt,1278.56,28.1,0.5,0.13,0.67,6.13
Tripura,Maize,Central,Silt,797.61,34.3,0.91,0.87,0.91,1.71
Jharkhand,Soybean,North,Sandy,717.77,21.6,0.47,0.93,0.26,4.99
Haryana,Rice,North,Clay,751.6,20.3,0.2,0.14,0.94,4.17
Jharkhand,Cotton,Central,Clay,476.77,31.2,0.12,0.24,0.2,3.14
Andhra Pradesh,Cotton,East,Peaty,629.96,15.2,0.79,0.66,0.01,5.65
Assam,Rice,West,Loamy,276.48,23.9,0.5,0.22,0.66,8.53
Sikkim,Rice,Central,Sandy,1131.08,18.0,0.57,0.74,0.08,7.56
Gujarat,Cotton,West,Loamy,648.77,32.8,0.92,0.89,0.75,2.0
Gujarat,Wheat,Central,Clay,567.21,37.8,0.59,0.73,0.52,4.9
Telangana,Maize,West,Silt,1347.1,36.9,0.57,0.56,0.02,6.74
Kerala,Soybean,West,Clay,523.42,28.3,0.77,0.56,0.3,8.19
Goa,Wheat,South,Loamy,483.26,27.6,0.57,0.58,0.63,7.17
Jharkhand,Soybean,South,Silt,1103.82,38.2,0.92,0.6,0.12,3.03
Sikkim,Rice,Central,Sandy,334.32,22.5,0.13,0.56,0.26,2.98
Arunachal Pradesh,Soybean,East,Silt,1267.52,15.2,0.56,0.38,0.8,1.15
Meghalaya,Wheat,South,Silt,987.27,27.8,0.91,0.88,0.53,4.16
Tripura,Cotton,Central,Silt,1185.08,28.0,0.11,0.17,0.05,5.6
Kerala,Wheat,South,Loamy,1213.66,22.8,0.6,0.07,0.43,7.21
Punjab,Cotton,Central,Loamy,1289.76,33.7,0.15,0.46,0.19,3.23
Goa,Rice,North,Silt,947.04,15.7,0.61,0.08,0.61,5.24
Rajasthan,Maize,East,Clay,1290.09,32.2,0.88,0.87,0.08,6.96
Himachal Pradesh,Wheat,West,Clay,1462.88,25.4,0.3,0.73,0.05,7.92
Tamil Nadu,Cotton,West,Silt,1007.96,22.9,0.43,0.66,0.51,2.3
Himachal Pradesh,Rice,West,Sandy,509.52,39.3,0.98,0.57,0.43,5.02
Odisha,Cotton,East,Loamy,1476.81,16.2,0.82,0.35,0.75,1.27
Uttarakhand,Maize,North,Sandy,1248.54,29.0,0.87,0.06,0.69,2.79
Assam,Maize,Central,Sandy,821.34,31.3,0.08,0.21,0.86,4.75
Bihar,Soybean,Central,Silt,1309.69,24.7,0.82,0.38,0.06,8.88
Sikkim,Soybean,North,Sandy,1278.51,20.4,0.58,0.92,0.59,7.63
Delhi,Cotton,East,Peaty,1073.59,31.7,0.17,0.95,0.7,7.47
Assam,Rice,West,Clay,794.99,29.7,0.69,0.97,0.75,2.51
Telangana,Maize,Central,Peaty,1313.14,33.2,0.71,0.86,0.61,1.32
Rajasthan,Rice,East,Loamy,562.13,36.2,0.91,0.84,0.47,3.29
Goa,Cotton,West,Sandy,1423.36,32.2,0.22,0.96,0.76,2.95
Gujarat,Wheat,East,Peaty,553.38,36.6,0.57,0.99,0.45,2.36
Gujarat,Cotton,East,Clay,437.85,17.5,0.69,0.32,0.13,7.92
Nagaland,Wheat,East,Sandy,704.82,27.9,0.01,0.3,0.54,8.61
Manipur,Cotton,East,Peaty,510.41,15.4,0.04,0.54,0.38,2.54
Nagaland,Maize,North,Loamy,1222.78,37.0,0.29,0.96,0.22,9.42
Uttarakhand,Wheat,South,Clay,435.44,27.6,0.36,0.14,0.43,2.72
Tamil Nadu,Soybean,Central,Silt,567.9,30.8,0.08,0.86,0.63,7.04
Sikkim,Soybean,East,Loamy,1223.82,36.8,0.44,0.02,0.34,2.35
Kerala,Rice,North,Sandy,766.89,21.4,0.86,0.94,0.32,5.53
Chhattisgarh,Maize,East,Silt,1159.6,27.9,0.93,0.92,0.97,4.4
Tripura,Rice,East,Sandy,332.83,23.2,0.78,0.15,0.55,9.85
Goa,Wheat,West,Loamy,1338.67,19.0,0.83,0.15,0.65,7.47
Uttarakhand,Cotton,West,Silt,1489.13,21.9,0.62,0.4,0.82,1.33
Uttar Pradesh,Soybean,North,Clay,235.43,37.3,0.97,0.59,0.17,4.91
Andhra Pradesh,Cotton,East,Silt,1238.35,32.4,0.56,0.08,0.06,5.93
Goa,Maize,East,Peaty,959.56,25.7,0.56,0.76,0.81,1.1
Uttar Pradesh,Rice,Central,Silt,1428.29,19.4,0.9,0.56,0.84,7.24
Kerala,Soybean,West,Peaty,733.09,38.3,0.02,0.0,0.86,1.9
Mizoram,Cotton,South,Loamy,414.59,23.1,0.48,0.61,0.61,7.18
Gujarat,Maize,Central,Sandy,980.49,31.7,0.92,0.13,0.66,6.94
Madhya Pradesh,Maize,East,Sandy,1342.77,35.9,0.21,0.23,0.35,9.24
Goa,Rice,Central,Peaty,519.87,33.8,0.74,0.12,0.2,8.32
Andhra Pradesh,Maize,Central,Peaty,777.23,24.3,0.59,0.77,0.28,9.51
Himachal Pradesh,Cotton,East,Peaty,1109.59,31.5,0.7,0.03,0.45,6.48
Mizoram,Maize,Central,Loamy,1265.51,25.9,0.53,0.53,0.67,7.2
Jammu and Kashmir,Soybean,North,Loamy,1117.17,33.2,0.59,0.96,0.55,2.73
Sikkim,Rice,East,Peaty,318.46,17.7,0.99,0.88,0.56,5.09
Meghalaya,Maize,South,Sandy,825.75,16.7,0.43,0.55,0.26,9.41
Meghalaya,Cotton,Central,Peaty,526.92,21.7,0.68,0.8,0.25,1.82
Tamil Nadu,Maize,Central,Silt,712.69,25.9,0.29,0.18,0.06,8.14
Gujarat,Rice,Central,Loamy,259.91,35.5,0.36,0.52,0.43,6.73
Telangana,Wheat,Central,Sandy,742.52,36.9,0.58,0.19,0.05,6.14
West Bengal,Maize,South,Peaty,713.15,28.8,0.08,0.11,0.29,9.81
Jharkhand,Soybean,Central,Clay,944.66,26.1,0.37,0.19,0.85,8.48
Himachal Pradesh,Wheat,North,Clay,1078.95,26.8,0.59,0.76,0.2,3.08
Maharashtra,Soybean,North,Sandy,885.57,26.1,0.78,0.76,0.02,9.08
Jammu and Kashmir,Cotton,West,Silt,709.38,39.0,0.94,0.12,0.54,8.93
Assam,Wheat,East,Sandy,1494.45,29.7,0.71,0.25,0.03,7.51
Rajasthan,Maize,North,Silt,405.23,35.1,0.78,0.75,0.55,9.17
Jharkhand,Maize,Central,Loamy,762.3,28.5,0.96,0.95,0.09,4.48
Gujarat,Wheat,East,Sandy,620.12,22.4,0.71,0.51,0.15,5.34
Goa,Maize,East,Loamy,1117.69,35.8,0.28,0.09,0.35,4.4
Nagaland,Soybean,North,Clay,1414.69,18.8,0.14,0.77,0.99,9.08
Telangana,Wheat,South,Sandy,1465.59,34.1,0.64,0.81,0.77,3.73
Bihar,Soybean,North,Sandy,1374.12,38.4,0.21,0.48,0.9,7.14
Goa,Wheat,North,Clay,950.82,27.6,0.47,0.18,0.99,7.3
Andhra Pradesh,Cotton,East,Peaty,658.3,19.6,0.86,0.8,0.8,9.51
Himachal Pradesh,Maize,South,Sandy,831.07,23.6,0.43,0.54,0.96,8.86
Andhra Pradesh,Rice,East,Clay,1035.5,22.8,0.51,0.6,0.19,5.31
Maharashtra,Rice,Central,Peaty,775.79,29.4,0.27,0.47,0.64,3.12
Nagaland,Wheat,West,Loamy,1369.02,34.0,0.63,0.01,0.89,9.9
Delhi,Maize,West,Silt,232.92,20.8,0.68,0.7,0.64,9.89
Punjab,Soybean,East,Peaty,1174.05,33.2,0.65,0.34,0.81,3.88
Manipur,Maize,West,Sandy,1344.03,26.9,0.95,0.71,0.68,8.13
Sikkim,Soybean,East,Loamy,723.81,38.5,0.16,0.41,0.35,8.9
Delhi,Maize,Central,Loamy,1499.83,31.7,0.16,0.27,0.82,6.03
Bihar,Maize,Central,Clay,602.4,17.0,0.52,0.68,0.2,6.57
West Bengal,Cotton,North,Clay,741.23,18.5,0.61,0.85,0.6,7.36
Assam,Wheat,West,Sandy,426.38,18.6,0.96,0.52,0.9,3.62
Maharashtra,Rice,West,Sandy,612.35,31.8,0.82,0.93,0.61,2.51
Rajasthan,Wheat,West,Loamy,1172.18,37.0,0.31,0.04,0.2,3.22
Karnataka,Cotton,West,Clay,1499.4,36.8,0.51,0.22,0.35,4.88
Punjab,Wheat,South,Sandy,593.15,16.8,0.32,0.81,0.03,1.12
Gujarat,Soybean,South,Loamy,1382.48,37.1,0.1,0.8,0.63,7.23
Madhya Pradesh,Cotton,West,Sandy,1325.33,28.8,0.76,0.01,0.3,6.58
Maharashtra,Maize,North,Loamy,1227.87,23.8,0.93,0.68,0.96,1.64
Telangana,Cotton,South,Peaty,1459.69,21.0,0.23,0.82,0.32,2.05
Andhra Pradesh,Maize,South,Clay,351.44,30.3,0.81,0.08,0.77,7.53
Tripura,Maize,North,Peaty,1184.64,26.7,0.15,0.51,0.92,8.54
Chhattisgarh,Soybean,West,Peaty,852.29,32.3,0.18,0.75,0.26,9.99
Tamil Nadu,Rice,North,Sandy,606.58,17.4,0.97,0.58,0.51,9.58
Gujarat,Wheat,South,Sandy,741.97,38.1,0.98,0.04,0.92,2.41
Madhya Pradesh,Rice,North,Clay,1383.06,29.3,0.1,0.22,0.34,1.13
Kerala,Soybean,East,Peaty,993.68,28.4,0.34,0.35,0.8,8.29
Tripura,Cotton,West,Silt,341.68,18.8,0.57,0.94,0.06,4.84
Jharkhand,Wheat,Central,Loamy,275.24,33.8,0.91,0.45,0.39,8.12
West Bengal,Soybean,West,Peaty,874.09,35.2,0.54,0.95,0.12,9.09
Tamil Nadu,Cotton,East,Silt,1487.72,20.2,0.42,0.87,0.44,6.78
Uttar Pradesh,Wheat,North,Loamy,1355.82,26.1,0.85,0.09,0.4,4.51
Uttar Pradesh,Soybean,East,Clay,1091.13,38.9,0.21,0.72,0.41,6.86
Ladakh,Wheat,East,Peaty,356.32,24.1,0.84,0.98,0.37,1.67
Himachal Pradesh,Maize,North,Silt,777.16,34.3,0.97,0.95,0.24,3.78
Madhya Pradesh,Cotton,North,Loamy,414.55,35.2,0.51,0.54,0.89,9.66
Jharkhand,Maize,Central,Peaty,222.67,22.4,0.78,0.27,0.0,6.98
Odisha,Cotton,West,Sandy,943.67,16.2,0.28,0.46,0.42,3.36
Haryana,Maize,South,Loamy,1378.4,38.3,0.88,0.5,0.9,3.4
Gujarat,Cotton,South,Loamy,1115.15,17.5,0.06,0.1,0.35,7.76
Telangana,Cotton,North,Silt,490.07,23.9,0.41,0.85,0.42,3.12
Maharashtra,Cotton,North,Loamy,1292.56,32.9,0.73,0.97,0.57,6.2
Sikkim,Maize,West,Loamy,394.58,24.2,0.29,0.99,0.65,8.43
Tamil Nadu,Maize,South,Silt,928.45,30.5,0.51,0.0,0.16,4.47
Goa,Rice,West,Sandy,1346.98,30.3,0.52,0.53,0.53,9.22
Jammu and Kashmir,Rice,Central,Loamy,390.13,18.8,0.31,0.48,0.19,8.39
Delhi,Rice,North,Loamy,1444.68,35.7,0.23,0.13,0.46,2.85
Mizoram,Rice,Central,Clay,523.75,18.8,0.81,0.29,0.27,3.36
Gujarat,Rice,West,Peaty,1312.26,32.5,0.48,0.23,0.38,1.96
Madhya Pradesh,Cotton,South,Clay,883.5,18.3,0.19,0.91,0.46,1.07
Sikkim,Cotton,West,Sandy,1248.77,38.7,0.51,0.5,0.06,3.8
Jharkhand,Rice,North,Clay,1057.45,30.6,0.12,0.75,0.39,7.24
Goa,Rice,South,Peaty,622.7,18.8,0.85,0.73,0.44,5.8
Nagaland,Soybean,East,Silt,260.48,27.0,0.3,0.05,0.26,5.11
Arunachal Pradesh,Rice,South,Silt,386.82,27.3,0.51,0.8,0.12,1.65
West Bengal,Rice,East,Peaty,953.26,32.1,0.82,0.66,0.39,7.96
Jharkhand,Soybean,North,Clay,672.79,38.1,0.79,0.85,0.28,9.75
Punjab,Maize,South,Silt,220.9,33.8,0.2,0.19,0.8,2.94
Himachal Pradesh,Soybean,West,Silt,259.53,22.0,0.51,0.52,0.34,2.33
Chhattisgarh,Wheat,North,Loamy,452.31,23.8,0.35,0.1,0.02,8.31
Nagaland,Cotton,East,Loamy,985.02,18.8,0.15,0.21,0.69,7.26
Arunachal Pradesh,Cotton,South,Sandy,1317.17,24.8,0.66,0.58,0.99,9.18
Punjab,Rice,East,Sandy,501.61,33.2,0.86,0.6,0.92,8.59
Sikkim,Maize,West,Sandy,533.35,21.4,0.69,0.55,0.81,8.85
Tamil Nadu,Soybean,South,Peaty,653.6,25.2,0.58,0.41,0.21,3.73
Gujarat,Maize,West,Peaty,402.87,28.5,0.4,0.56,0.43,2.58
Bihar,Cotton,North,Clay,1110.07,25.6,0.11,0.47,0.09,8.6
Karnataka,Soybean,North,Silt,303.52,21.1,0.58,0.83,0.17,2.89
Bihar,Maize,South,Silt,625.05,37.9,0.49,0.03,0.7,1.27
West Bengal,Rice,North,Loamy,1090.64,38.6,0.95,0.22,0.24,1.01
Tamil Nadu,Soybean,South,Silt,1017.24,25.5,0.05,0.29,0.39,8.29
Telangana,Soybean,East,Loamy,935.95,34.8,0.66,0.48,0.79,2.2
Ladakh,Soybean,North,Clay,434.32,24.1,0.59,0.29,0.77,9.71
West Bengal,Maize,West,Loamy,1290.71,34.8,0.38,0.36,0.08,4.39
Kerala,Maize,East,Clay,304.47,28.1,0.8,0.37,0.11,1.64
Jammu and Kashmir,Soybean,Central,Peaty,337.53,32.3,0.64,0.5,0.18,3.01
Meghalaya,Cotton,South,Loamy,825.36,36.0,0.6,0.52,0.87,4.14
West Bengal,Rice,Central,Silt,799.04,25.2,0.76,0.38,0.18,8.8
Chhattisgarh,Cotton,East,Clay,1245.41,27.4,0.31,0.82,0.36,2.63
Sikkim,Wheat,Central,Peaty,832.6,24.9,0.67,0.19,0.17,4.02
Gujarat,Cotton,South,Peaty,1204.87,30.6,0.91,0.81,0.64,5.15
Goa,Maize,West,Loamy,951.97,32.8,0.86,0.29,0.94,5.41
Andhra Pradesh,Wheat,West,Silt,419.76,24.6,0.95,0.0,0.86,3.71
Uttar Pradesh,Soybean,Central,Silt,1015.72,31.6,0.59,0.36,0.67,6.26
Telangana,Cotton,West,Loamy,680.68,21.8,0.92,0.71,0.56,8.58
Arunachal Pradesh,Maize,East,Loamy,1189.37,30.3,0.52,0.55,0.62,6.74
Tripura,Soybean,South,Clay,254.85,18.3,0.6,0.46,0.61,9.37
Himachal Pradesh,Rice,Central,Loamy,490.81,27.2,0.6,0.39,0.39,6.67
Jammu and Kashmir,Soybean,East,Clay,1245.54,40.0,0.55,0.82,0.91,1.33
Jharkhand,Soybean,West,Clay,677.84,22.8,0.15,0.9,0.36,7.39
Haryana,Wheat,North,Peaty,976.24,27.0,0.77,0.02,0.77,4.24
Delhi,Cotton,East,Clay,521.34,37.2,0.1,0.52,0.19,3.19
Punjab,Wheat,North,Sandy,335.84,16.5,0.3,0.56,0.03,5.91
Jharkhand,Wheat,South,Clay,1330.01,33.7,0.92,0.56,0.6,7.93
Himachal Pradesh,Wheat,West,Peaty,1246.56,32.4,0.85,0.24,0.2,6.89
Uttarakhand,Cotton,Central,Sandy,1366.46,23.8,0.22,0.53,0.13,4.45
Tripura,Maize,West,Sandy,604.73,31.1,0.54,0.98,0.78,3.66
Andhra Pradesh,Rice,Central,Silt,1066.31,33.5,0.32,0.07,0.55,7.46
Tripura,Cotton,North,Sandy,926.41,20.4,0.51,0.8,0.39,4.21
Maharashtra,Rice,East,Sandy,713.7,31.2,0.66,0.1,0.75,4.33
Nagaland,Soybean,North,Sandy,441.25,38.6,0.63,0.6,0.75,4.43
Mizoram,Wheat,North,Sandy,753.35,25.9,0.02,0.15,0.45,2.54
Jammu and Kashmir,Cotton,North,Peaty,225.43,21.3,0.99,0.88,0.38,6.08
Meghalaya,Wheat,Central,Clay,877.23,24.4,0.71,0.68,0.26,5.81
Himachal Pradesh,Rice,North,Silt,659.14,25.2,0.99,0.39,0.92,1.38
Odisha,Maize,North,Silt,811.83,15.2,0.96,0.71,0.61,5.99
Haryana,Rice,Central,Sandy,745.9,16.1,0.36,0.8,0.33,3.71
Nagaland,Maize,South,Peaty,269.57,36.6,0.27,0.75,0.37,9.98
Odisha,Wheat,South,Sandy,1473.55,37.3,0.1,0.52,0.3,8.86
Ladakh,Cotton,North,Silt,1432.82,19.7,0.73,0.87,0.34,10.0
Tripura,Wheat,West,Silt,1173.91,19.5,0.65,0.62,0.66,3.12
Assam,Maize,North,Loamy,802.58,29.6,0.6,0.48,0.47,1.24
Tripura,Maize,West,Loamy,958.51,25.5,0.6,0.91,0.5,9.56
Gujarat,Wheat,East,Clay,772.23,32.6,0.02,0.24,0.54,7.78
Jharkhand,Soybean,East,Sandy,705.06,20.8,0.15,0.39,0.31,2.6
Sikkim,Wheat,East,Loamy,1006.34,34.0,0.43,0.43,0.23,4.52
West Bengal,Maize,West,Clay,1254.32,27.1,0.81,0.2,0.94,8.73
West Bengal,Cotton,East,Sandy,734.7,17.6,0.11,0.53,0.66,7.35
Meghalaya,Soybean,East,Clay,835.04,15.7,0.58,0.42,0.17,7.02
Nagaland,Maize,East,Loamy,1498.13,16.2,0.76,0.99,0.57,3.48
Meghalaya,Soybean,South,Clay,1002.14,38.8,0.72,0.34,0.83,6.95
Odisha,Cotton,North,Clay,538.68,38.4,0.28,0.87,0.82,3.67
Andhra Pradesh,Rice,West,Loamy,753.98,20.3,0.68,0.6,0.45,9.66
Manipur,Cotton,Central,Sandy,461.95,24.2,0.46,0.31,0.13,1.17
Karnataka,Soybean,East,Loamy,910.05,31.7,0.76,0.97,0.76,9.83
Kerala,Soybean,West,Loamy,1272.78,33.5,0.43,0.18,0.45,2.22
Gujarat,Soybean,East,Loamy,1110.4,30.8,0.76,0.11,0.3,7.8
Nagaland,Soybean,Central,Silt,543.71,16.2,0.24,0.38,0.06,9.33
Haryana,Maize,North,Loamy,230.65,22.3,0.87,0.38,0.64,7.87
Manipur,Cotton,Central,Loamy,1209.92,27.4,0.44,0.8,0.63,8.15
Andhra Pradesh,Soybean,Central,Silt,503.62,38.4,0.77,0.31,0.46,2.7
Delhi,Soybean,East,Clay,1498.68,26.2,0.07,0.77,0.67,2.54
Himachal Pradesh,Rice,North,Clay,1006.53,29.6,0.75,0.63,0.13,4.95
Rajasthan,Maize,North,Sandy,1216.92,26.4,0.21,0.97,0.03,3.61
Himachal Pradesh,Soybean,Central,Loamy,1261.38,18.1,0.1,0.87,0.41,4.68
Andhra Pradesh,Rice,Central,Loamy,832.0,22.8,0.25,0.51,0.71,6.91
Ladakh,Maize,South,Loamy,1024.95,35.0,0.32,0.48,0.81,5.17
Manipur,Maize,Central,Silt,988.01,21.8,0.13,0.62,0.72,5.0
Sikkim,Wheat,South,Silt,384.08,22.3,0.71,0.93,0.69,4.35
Meghalaya,Maize,South,Peaty,911.05,35.4,0.51,0.24,0.4,6.97
Nagaland,Cotton,South,Sandy,586.51,23.4,0.01,0.23,0.09,1.22
Madhya Pradesh,Maize,West,Sandy,677.06,29.7,0.79,0.27,0.42,6.94
Haryana,Soybean,North,Sandy,357.31,15.6,0.23,0.97,0.84,7.34
West Bengal,Maize,East,Peaty,442.22,25.2,0.76,0.68,0.25,1.54
Gujarat,Cotton,South,Sandy,1292.63,24.4,0.01,0.62,0.25,9.27
Tamil Nadu,Wheat,North,Loamy,995.58,22.1,0.02,0.84,0.65,3.59
Maharashtra,Soybean,Central,Sandy,284.11,33.9,0.86,0.21,0.57,7.31
Gujarat,Maize,East,Sandy,237.1,24.0,0.99,0.46,0.04,2.39
Arunachal Pradesh,Wheat,East,Peaty,1066.28,24.2,0.86,0.17,0.24,1.43
Gujarat,Cotton,South,Peaty,518.32,17.1,0.07,0.07,0.52,2.97
Manipur,Soybean,South,Loamy,1008.64,28.0,0.75,0.72,0.23,1.98
West Bengal,Soybean,Central,Loamy,875.98,16.9,0.23,0.06,0.56,6.49
Mizoram,Cotton,North,Silt,379.91,33.6,0.43,0.12,0.32,9.82
Goa,Wheat,East,Peaty,654.71,16.8,0.54,0.55,0.21,7.13
Gujarat,Rice,Central,Clay,990.92,19.0,0.5,0.12,0.23,4.29
Maharashtra,Soybean,North,Peaty,476.54,28.1,0.36,0.6,0.69,8.25
Nagaland,Cotton,South,Sandy,385.61,24.5,0.9,0.2,0.17,5.45
